marketplace,categoria,titulo,ranking_venda,preco,link_produto,link_imagem_produto,data_extracao
Mercado Livre,Games,Ssd M.2 2280 Nvme Kingston 1tb Nv3 Snv3s/1000g Pci-e Gen 4.0 Formato M.2 2280 Velocidade De Leitura Até 6000 Mb/s E Gravação Até 4000 Mb/s Cor Azul-escuro,1,413,https://www.mercadolivre.com.br/ssd-m2-2280-nvme-kingston-1tb-nv3-snv3s1000g-pci-e-gen-40-formato-m2-2280-velocidade-de-leitura-ate-6000-mbs-e-gravaco-ate-4000-mbs-cor-azul-escuro/p/MLB39766120,https://http2.mlstatic.com/D_Q_NP_821973-MLA81427650462_122024-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Controle joystick sem fio Sony PlayStation 5 DualSense midnight black,2,"459,08",https://www.mercadolivre.com.br/controle-joystick-sem-fio-sony-playstation-5-dualsense-midnight-black/p/MLB18010993,https://http2.mlstatic.com/D_Q_NP_852815-MLA84840967263_052025-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Microfone Hollyland Lark M2 Duo Combo Duplo Para 2 Pessoas Cor Preto,3,1,https://www.mercadolivre.com.br/microfone-hollyland-lark-m2-duo-combo-duplo-para-2-pessoas-cor-preto/p/MLB34016199,https://http2.mlstatic.com/D_Q_NP_947018-MLU74678147031_022024-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Controle Xbox Wireless Series X|s Carbon black,4,"404,19",https://www.mercadolivre.com.br/controle-xbox-wireless-series-xs-carbon-black/p/MLB16268160,https://http2.mlstatic.com/D_Q_NP_903265-MLU72824211081_112023-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Console PlayStation 5 Midia Fisica Slim Branco 1TB Returnal e Ratchet e Clank Controle Sem Fio Dualsense Branco,5,"3,07",https://www.mercadolivre.com.br/console-playstation-5-midia-fisica-slim-branco-1tb-returnal-e-ratchet-e-clank-controle-sem-fio-dualsense-branco/p/MLB39459985,https://http2.mlstatic.com/D_Q_NP_697302-MLU78076147107_072024-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Controle Joystick Bluetooth Sem Fio Para Tv Pc Cor Preto,6,"58,49",https://www.mercadolivre.com.br/controle-joystick-bluetooth-sem-fio-para-tv-pc-cor-preto/p/MLB26899378,https://http2.mlstatic.com/D_Q_NP_898941-MLA79452454151_092024-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Controle Sem Fio Deltrad Pc Gamer Smart Tv Joystick Android Compativel Play 4 Cor Preto,7,"57,10",https://www.mercadolivre.com.br/controle-sem-fio-deltrad-pc-gamer-smart-tv-joystick-android-compativel-play-4-cor-preto/p/MLB29397802,https://http2.mlstatic.com/D_Q_NP_862409-MLU79311757135_092024-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,SSD Crucial BX500 240GB Disco Rígido Interno Alta Velocidade Preto Modelo CT240BX500SSD1,8,152,https://www.mercadolivre.com.br/ssd-crucial-bx500-240gb-disco-rigido-interno-alta-velocidade-preto-modelo-ct240bx500ssd1/p/MLB18102729,https://http2.mlstatic.com/D_Q_NP_840019-MLU72566263316_112023-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Controle Sem Fio Xbox Doom: The Dark Ages Edição Limitada - Ep2-25652,9,699,https://www.mercadolivre.com.br/controle-sem-fio-xbox-doom-the-dark-ages-edico-limitada-ep2-25652/p/MLB50044058,https://http2.mlstatic.com/D_Q_NP_723097-MLA84463855222_052025-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Fone De Ouvido Gamer Rgb Headset Headphone P/ Celular Pc Ps4 Cor Azul,10,"54,99",https://www.mercadolivre.com.br/fone-de-ouvido-gamer-rgb-headset-headphone-p-celular-pc-ps4-cor-azul/p/MLB24226986,https://http2.mlstatic.com/D_Q_NP_734290-MLU77144590838_062024-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Disco sólido interno Western Digital WD Green WDS100T3G0A 1TB verde,11,376,https://www.mercadolivre.com.br/disco-solido-interno-western-digital-wd-green-wds100t3g0a-1tb-verde/p/MLB14661338,https://http2.mlstatic.com/D_Q_NP_859585-MLU70027970531_062023-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Microfone Lapela Com Imã Tipo C Anti Ruido Redondo Kaidi Cor Preto,12,"81,93",https://www.mercadolivre.com.br/microfone-lapela-com-im-tipo-c-anti-ruido-redondo-kaidi-cor-preto/p/MLB44598312,https://http2.mlstatic.com/D_Q_NP_890686-MLA84782178338_052025-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Controle Gamesir T4 Nova Lite Sem Fio Para Pc Switch Android Ios Steam Celular Hall Effect Cor Space Purple,13,182,https://www.mercadolivre.com.br/controle-gamesir-t4-nova-lite-sem-fio-para-pc-switch-android-ios-steam-celular-hall-effect-cor-space-purple/p/MLB35655836,https://http2.mlstatic.com/D_Q_NP_743839-MLA80785848007_112024-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,SSD240GB Adata 3 2.5 SU650 ASU650SS-240GT-R 240GB preto,14,"146,60",https://www.mercadolivre.com.br/ssd240gb-adata-3-25-su650-asu650ss-240gt-r-240gb-preto/p/MLB15749699,https://http2.mlstatic.com/D_Q_NP_892218-MLU71801814925_092023-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,SSD Disco sólido interno Crucial 500 GB Preto,15,219,https://www.mercadolivre.com.br/ssd-disco-solido-interno-crucial-500-gb-preto/p/MLB19614825,https://http2.mlstatic.com/D_Q_NP_925187-MLA51839759055_102022-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Ssd Kingston 480GB Sata III A400 SA400S37/480G Preto,16,"246,60",https://www.mercadolivre.com.br/ssd-kingston-480gb-sata-iii-a400-sa400s37480g-preto/p/MLB27966626,https://http2.mlstatic.com/D_Q_NP_603054-MLU72717454543_112023-P.webp,2025-05-23 20:14:53.292715
Mercado Livre,Games,Sony PlayStation 5 Slim Digital CFI-2000 1 TB Ratchet & Clank Rift Apart Returnal color branco,17,3,https://www.mercadolivre.com.br/sony-playstation-5-slim-digital-cfi-2000-1-tb-ratchet-clank-rift-apart-returnal-color-branco/p/MLB37300294,https://http2.mlstatic.com/D_Q_NP_948815-MLU76516576246_052024-P.webp,2025-05-23 20:14:53.292715
